% Model,COMSOL_3D_CNN_Design_1_1_Phase_1.mph
% Version,COMSOL 6.3.0.290
% Date,"Oct 2 2025, 21:30"
% Table,Table 26 - 3D_Pipe_3_Outlet_Concentration_Surface_Average
% Time (s),"Molar concentration, c2 (mol/m^3)"
0,5.34358180296117E-137
0.1,-5.511771950007553E-134
0.2,1.2605234868808183E-125
0.30000000000000004,5.721532549382381E-117
0.4,-1.1253200066410807E-77
0.5,-7.997564410522654E-73
0.6000000000000001,-3.417371856915133E-68
0.7000000000000001,-4.8969039355693196E-48
0.8,-2.016127126059343E-45
0.9,-1.2595009551091396E-42
1,-3.2044619189183914E-40
1.1,-8.748934751462423E-38
1.2000000000000002,-1.1483473477364921E-35
1.3,-1.0787987869280762E-33
1.4000000000000001,-7.349417805442037E-32
1.5,-2.967681066614704E-30
1.6,-3.027247827560355E-25
1.7000000000000002,-1.572120039513536E-23
1.8,-3.4539957796228128E-22
1.9000000000000001,-8.83327357697607E-21
2,-1.7165960782074682E-19
2.1,-2.168638512213154E-18
2.2,-2.7734027646832213E-17
2.3000000000000003,-2.7994221415215435E-16
2.4000000000000004,-2.128626675986555E-15
2.5,-1.6002864047521076E-14
2.6,-9.957371124480489E-14
2.7,-5.017299289799578E-13
2.8000000000000003,-2.1406741490421325E-12
2.9000000000000004,-4.27460008084752E-12
3,3.089843854196158E-11
3.1,7.085788825510548E-10
3.2,3.6926663132364245E-9
3.3000000000000003,1.3809317741771094E-8
3.4000000000000004,4.884950163661315E-8
3.5,1.5586357717227618E-7
3.6,4.6049006016687033E-7
3.7,1.3118584816903303E-6
3.8000000000000003,3.4540975475990947E-6
3.9000000000000004,8.556792390577194E-6
4,2.0289873457320274E-5
4.1000000000000005,4.5154863907141274E-5
4.2,9.549009324767587E-5
4.3,1.930277404618584E-4
4.4,3.702818356944241E-4
4.5,6.798011198180354E-4
4.6000000000000005,0.0011965389183451953
4.7,0.002015004489524839
4.800000000000001,0.0032668626092028294
4.9,0.005122610055332295
5,0.0076724275788555545
5.1000000000000005,0.01100274284330647
5.2,0.015202088666841295
5.300000000000001,0.02027137377309544
5.4,0.026141938300721174
5.5,0.03269899531823569
5.6000000000000005,0.0397305884995958
5.7,0.046906809185177166
5.800000000000001,0.05403494669962438
5.9,0.06082991901960857
6,0.06701451396096242
6.1000000000000005,0.07237279749982678
6.2,0.07685573168246632
6.300000000000001,0.08039491645429898
6.4,0.08301177449574873
6.5,0.08484925336961247
6.6000000000000005,0.0860056529052119
6.7,0.08662152411045124
6.800000000000001,0.08684358100283407
6.9,0.0868419039585375
7,0.08669113680226401
7.1000000000000005,0.08649255549737665
7.2,0.0863063491474378
7.300000000000001,0.08615754961409351
7.4,0.08604838410872091
7.5,0.08598166816534118
7.6000000000000005,0.08594953740716742
7.7,0.08594012320391384
7.800000000000001,0.08594673952733968
7.9,0.08596055784954196
8,0.08597496765029834
8.1,0.08598679241280634
8.200000000000001,0.08599537804443626
8.3,0.08600013586890705
8.4,0.08600186807167297
8.5,0.08600183726819799
8.6,0.08600070935748805
8.700000000000001,0.08599931181070838
8.8,0.08599814732073678
8.9,0.0859973427831748
9,0.08599689218784284
9.1,0.08599675187872964
9.200000000000001,0.08599679144352176
9.3,0.08599690214774947
9.4,0.08599703630122207
9.5,0.08599714291305806
9.600000000000001,0.08599720648524367
9.700000000000001,0.0859972451817937
9.8,0.08599725939058822
9.9,0.08599725319675923
10,0.0859972455348177
10.100000000000001,0.0859972264356825
10.200000000000001,0.08599721240643159
10.3,0.08599720151916342
10.4,0.08599719294642295
10.5,0.08599718896046647
10.600000000000001,0.08599718823680534
10.700000000000001,0.08599718875691148
10.8,0.08599719136311873
10.9,0.08599719572142164
11,0.08599720166625172
11.100000000000001,0.08599721029035458
11.200000000000001,0.08599722634248598
11.3,0.0859972476010982
11.4,0.08599729052733278
11.5,0.08599735418457553
11.600000000000001,0.08599745671936977
11.700000000000001,0.08599763497502241
11.8,0.08599786863642028
11.9,0.08599832798386459
12,0.08599894452851249
12.100000000000001,0.08599993727309939
12.200000000000001,0.08600143933598706
12.3,0.08600348577586366
12.4,0.08600690541938842
12.5,0.08601131766677125
12.600000000000001,0.08601831795216565
12.700000000000001,0.08602791770296521
12.8,0.0860411810090191
12.9,0.08606090490390773
13,0.08608559227422907
13.100000000000001,0.08612379996348252
13.200000000000001,0.08617244648359791
13.3,0.08623939912965997
13.4,0.08633052537096682
13.5,0.08644500481478846
13.600000000000001,0.08660794497030096
13.700000000000001,0.08680801930435535
13.8,0.0870790480907693
13.9,0.0874235965438877
14,0.08785544317950766
14.100000000000001,0.0884248829219805
14.200000000000001,0.0891057176830755
14.3,0.0900054294394721
14.4,0.09109009541535276
14.5,0.09243090493840382
14.600000000000001,0.09409327068328922
14.700000000000001,0.09605419339787388
14.8,0.09851251854408039
14.9,0.10138005888949232
15,0.10484645668057688
15.100000000000001,0.10894009880837019
15.200000000000001,0.11369718595196891
15.3,0.11934990565121839
15.4,0.12578031048778257
15.5,0.13332259743209102
15.600000000000001,0.14188704245614264
15.700000000000001,0.15161499399156544
15.8,0.1626717397733055
15.9,0.1749760645694155
16,0.18883605793761815
16.1,0.20411731125995838
16.2,0.22097103192555384
16.3,0.23943188998346737
16.400000000000002,0.2594731896813512
16.5,0.2811528896299464
16.6,0.3044422261330578
16.7,0.329234871006685
16.8,0.35555405309039284
16.900000000000002,0.383264785210587
17,0.4121977067647473
17.1,0.4424254539306179
17.2,0.47339066615437175
17.3,0.5053326588997239
17.400000000000002,0.5377715515356349
17.5,0.5705560064423518
17.6,0.6036572120134595
17.7,0.636377951077391
17.8,0.669056777989666
17.900000000000002,0.7008943924332023
18,0.7320229178271379
18.1,0.7621953521036886
18.2,0.7909504449131405
18.3,0.8185284130743846
18.400000000000002,0.843993333193826
18.5,0.8677408896351274
18.6,0.8897710823982902
18.7,0.9100839114833119
18.8,0.9286473994338741
18.900000000000002,0.9453547925461165
19,0.9602904323590524
19.1,0.9734543188726834
19.200000000000003,0.9848464520870082
19.3,0.9946851608229245
19.400000000000002,1.0031915974045296
19.5,1.01012396331972
19.6,1.0154822585684975
19.700000000000003,1.0192664831508615
19.8,1.0222707625788099
19.900000000000002,1.0245925307554735
20,1.0258195807200372
